,CHIR,control,seed,cTnT,expID,wellNum,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
10,12.0,0,,0.000348921,8,F9,0.4705827524853734,0.009128514062098692,7.0,27.0,0.39894586837164736,-0.08878839681323562,0.34574468085106386,112.0,0.011446409989594173,93.0,0.28549822753258586,17.0,0.16666666666666666,-0.2743362831858407,0.2495575221238937,0.9336093570966987,33.0,1.790674782216042,0.5434782608695652,0.41304347826086957,0.13499030933394532,0.5411602503212398
11,12.0,0,,0.000326466,8,E9,-0.4267820568263908,-0.12002021729815149,20.0,56.0,0.4758818248796063,-0.007362702126161214,0.22163120567375885,60.0,0.011851851851851853,178.0,0.567992164029395,35.0,0.08333333333333333,-0.19999999999999996,-0.29911504424778756,0.9827233884875657,53.0,1.9128893342409055,0.41304347826086957,0.8260869565217391,0.04908738521234375,0.2600146350609731
12,12.0,0,,0.000193319,8,D9,-0.7020869925004986,-0.3679080195678881,16.0,48.0,0.4912488460661393,-0.0069392131525967,0.26595744680851063,56.0,0.04801477377654662,173.0,0.5117048597252243,28.0,0.10344827586206896,-0.1893805309734513,0.06194690265486735,0.9823029297853978,48.0,1.756366281289301,0.45652173913043476,0.8260869565217391,0.06749515466697266,0.27896961119171454
13,12.0,0,,0.000318835,8,C9,-0.3852788584473157,-0.08102084849765323,16.0,41.0,0.461328142562692,-0.005791913979826132,0.2553191489361702,50.0,0.003779289493575207,178.0,0.5440449678848133,24.0,0.11538461538461539,-0.1929203539823009,0.03362831858407089,0.9833018372924939,49.0,1.7696340600752436,0.5652173913043478,0.5,0.06749515466697266,0.2699977956024278
14,12.0,0,,0.000324098,8,B9,-0.19304214816793974,-0.4580515816440266,26.0,74.0,0.49575032396799434,-0.002569555320620651,0.24468085106382978,73.0,0.018518518518518517,180.0,0.7124547096261651,40.0,0.06521739130434782,-0.19646017699115048,0.07964601769911495,0.9851433858062031,61.0,1.692520501881094,0.8043478260869565,0.8260869565217391,0.03681553890925782,0.21426487966308505
15,12.0,0,,0.000733804,8,A9,-0.3986758346482916,-0.16310010029902933,39.0,123.0,0.8157956879181002,-0.001928179554305066,0.274822695035461,101.0,0.020833333333333336,174.0,1.0627777406048429,40.0,0.04411764705882353,-0.16991150442477876,-0.8725663716814159,0.9903454182620138,81.0,1.4636411061028753,0.8043478260869565,0.8478260869565217,0.024543692606171875,0.15590857379988254
16,5.0,0,,0.098376018,8,H4,0.0065861411424150695,-0.5365056316534615,4.0,8.0,0.2420661876255991,-0.13263546463168774,0.4946808510638298,26.0,0.0023118622448979583,13.0,0.18508315094422803,4.0,0.6,0.32389380530973444,0.29380530973451324,0.9137724808553418,20.0,1.8111866325921708,0.1956521739130435,0.13043478260869565,0.34361169648640627,0.732965204882263
17,5.0,0,,0.157411348,8,G4,0.35510815453776035,-0.16207777992056727,4.0,8.0,0.256779584604526,-0.03552483669077811,0.44148936170212766,121.0,0.007356269805341785,37.0,0.20813461472759165,4.0,0.5,-0.2778761061946903,-0.3132743362831858,0.8872583155699405,18.0,1.869718339470991,0.2826086956521739,0.2826086956521739,0.3190680038802344,0.7122882199020467
18,5.0,0,,0.147253086,8,F4,-0.28202761935476617,0.01645228551038691,22.0,52.0,0.5851881034310069,-0.000827351456965359,0.274822695035461,61.0,0.008230452674897118,165.0,1.4753436588837692,30.0,0.7419354838709677,-0.14867256637168147,0.02831858407079646,0.9960626618921733,53.0,1.5998271694028847,0.6739130434782609,0.5652173913043478,0.05522330836388672,0.15835342462983307
19,5.0,0,,0.224233892,8,E4,-0.6482124182796151,-0.31606905234889626,19.0,47.0,0.5029184355506016,-0.0022081121397650918,0.2783687943262411,57.0,0.011666666666666665,90.0,1.0097957883231974,26.0,0.5925925925925926,-0.14867256637168147,-0.005309734513274322,0.993308184356059,48.0,1.6040463501813562,0.6739130434782609,0.5,0.061359231515429685,0.20092675961711348
20,5.0,0,,0.068177528,8,D4,-0.8483513627743497,-0.4831362198545075,18.0,41.0,0.4539042400812664,-0.004352131033238543,0.23581560283687944,54.0,0.003779289493575207,154.0,0.827007873241028,25.0,0.6153846153846154,-0.16460176991150444,-0.28938053097345134,0.9931359509414353,38.0,1.731946212701148,0.6086956521739131,0.30434782608695654,0.06749515466697266,0.21410175036500798
21,5.0,0,,0.240878589,8,C4,-0.04802285225015113,-0.3579408551673725,20.0,52.0,0.4853455395617477,-0.0012954039245408242,0.26595744680851063,54.0,0.0205761316872428,176.0,0.7978693117921355,30.0,0.3870967741935484,-0.21415929203539819,-0.024778761061946875,0.9904979164401255,59.0,1.8236335689421643,0.717391304347826,0.8478260869565217,0.05522330836388672,0.21669125772965495
