device,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O
plate,,
wellmapId,1001,1002
sennum,1001,1002
measurement,Temperature,Temperature
6.37611,38.9,37.7
6.39278,38.9,37.7
6.40944,39,37.7
6.42611,39,37.7
6.44278,39,37.7
6.45944,39,37.7
6.47611,39,37.7
6.49278,38.9,37.7
6.50944,38.9,37.7
6.52611,38.9,37.7
6.54278,38.9,37.7
6.55944,38.9,37.7
6.57611,38.9,37.7
6.59278,38.9,37.7
6.60944,38.9,37.7
6.62611,38.9,37.7
6.64278,38.9,37.7
6.65944,38.9,37.7
6.67611,38.9,37.7
6.69278,38.9,37.7
6.70944,38.9,37.7
6.72611,38.9,37.7
6.74278,38.9,
6.75944,38.9,37.7
6.77611,38.9,37.7
6.79278,38.9,37.7
6.80944,38.9,37.7
6.82611,38.9,37.7
6.84278,38.9,37.7
6.85944,38.9,37.7
6.87611,38.9,37.7
6.89278,38.9,37.7
6.90944,38.9,37.7
6.92611,38.9,37.7
6.94278,38.9,37.7
6.95944,38.9,37.7
6.97611,38.9,37.7
6.99278,38.9,37.7
7.00944,38.9,37.7
7.02611,39,37.7
7.04278,38.9,37.7
7.05944,39,37.7
7.07611,38.9,37.7
7.09278,39,37.7
7.10944,39,37.7
7.12611,38.9,37.7
7.14278,38.9,37.7
7.15944,38.9,37.7
7.17611,38.9,37.7
7.19278,38.9,37.7
7.20944,38.9,37.7
7.22611,38.9,37.7
7.24278,38.9,37.7
7.25944,38.9,37.7
7.27611,38.9,37.7
7.29278,38.9,37.7
7.30944,38.9,37.7
7.32611,38.9,37.7
7.34278,38.9,37.7
7.35944,38.9,37.7
7.37611,38.9,37.7
7.39278,38.9,37.7
7.40944,38.9,37.7
7.42611,38.9,37.7
7.44278,38.9,37.7
7.45944,38.9,37.7
7.47611,38.9,37.7
7.49278,38.9,37.7
7.50944,38.9,37.7
7.52611,38.9,37.7
7.54278,39,37.7
7.55944,38.9,37.7
7.57611,39,37.7
7.59278,39,37.7
7.60944,39,37.7
7.62611,39,37.7
7.64278,39,37.7
7.65944,39,37.7
7.67611,39,37.7
7.69278,39,37.7
7.70944,39,37.7
7.72611,39,37.7
7.74278,39,37.7
7.75944,39,37.7
7.77611,39,37.7
7.79278,39,37.7
7.80944,39,37.7
7.82611,39,37.7
7.84278,39,37.7
7.85944,39,37.7
7.87611,39,37.7
7.89278,39,37.7
7.90944,39,37.7
7.92611,38.9,37.7
7.94278,38.9,37.7
7.95944,39,37.7
7.97611,38.9,37.7
7.99278,38.9,37.7
8.00944,38.9,37.7
8.02611,38.9,37.7
8.04278,38.9,37.7
8.05944,38.9,37.7
8.07611,38.9,37.7
8.09278,38.9,37.7
8.10944,38.9,37.7
8.12611,38.9,37.7
8.14278,38.9,37.7
8.15944,39,37.7
8.17611,39,37.7
8.19278,38.9,37.7
8.20944,38.9,37.7
8.22611,38.9,37.7
8.24278,38.9,37.7
8.25944,38.9,37.7
8.27611,38.9,37.7
8.29278,38.9,37.7
8.30944,38.9,37.7
8.32611,38.9,37.7
8.34278,38.9,37.7
8.35944,38.9,37.7
8.37611,38.9,37.7
8.39278,38.9,37.7
8.40944,38.9,37.7
8.42611,38.9,37.7
8.44278,38.9,37.7
