device,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O
plate,,
wellmapId,1001,1002
sennum,1001,1002
measurement,Temperature,Temperature
7.83444,38.8,37.647619047619045
7.85111,38.8,37.62727272727273
7.86778,38.8,37.65
7.88444,38.8,37.65714285714286
7.90111,38.8,37.64857142857143
7.91778,38.8,37.682352941176475
7.93444,38.8,37.650000000000006
7.95111,38.8,37.65
7.96778,38.8,37.650000000000006
7.98444,38.8,37.7
8.00111,38.8,37.666666666666664
8.01778,38.8,37.7
8.03444,38.8,37.7
8.05111,38.8,37.7
8.06778,38.8,37.666666666666664
8.08444,38.8,37.650000000000006
8.10111,38.8,37.7
8.11778,38.8,37.68571428571429
8.13444,38.8,37.663636363636364
8.15111,38.8,37.7
8.16778,38.8,37.7
8.18444,38.8,37.660000000000004
8.20111,38.8,37.7
8.21778,38.8,37.7
8.23444,38.8,37.7
8.25111,38.9,
8.26778,38.8,37.7
8.28444,38.8,37.7
8.30111,38.8,37.7
8.31778,38.8,37.666666666666664
8.33444,38.8,37.7
8.35111,38.8,37.650000000000006
8.36778,38.8,37.65
8.38444,38.8,37.7
8.40111,38.8,37.7
8.41778,38.8,37.7
8.43444,38.8,37.650000000000006
8.45111,38.8,37.650000000000006
8.46778,38.8,37.7
8.48444,38.8,37.7
8.50111,38.8,37.7
8.51778,38.8,37.7
8.53444,38.8,37.7
8.55111,38.8,37.7
8.56778,38.8,37.7
8.58444,38.8,37.7
8.60111,38.8,37.7
8.61778,38.8,37.7
8.63444,38.8,37.7
8.65111,38.8,37.7
8.66778,38.8,37.7
8.68444,38.8,37.7
8.70111,38.8,37.7
8.71778,38.8,37.7
8.73444,38.8,37.7
8.75111,38.8,37.7
8.76778,38.8,37.7
8.78444,38.8,37.7
8.80111,38.8,37.7
8.81778,38.8,37.65
8.83444,38.8,37.6625
8.85111,38.8,37.675000000000004
8.86778,38.8,37.650000000000006
8.88444,38.8,37.64736842105263
8.90111,38.8,37.65384615384615
8.91778,38.8,37.65
8.93444,38.8,37.65
8.95111,38.8,37.650000000000006
8.96778,38.8,37.650000000000006
8.98444,38.8,37.650000000000006
9.00111,38.8,37.65
9.01778,38.8,37.7
9.03444,38.8,37.7
9.05111,38.8,37.650000000000006
9.06778,38.8,37.650000000000006
9.08444,38.8,37.650000000000006
9.10111,38.8,37.65
9.11778,38.8,37.650000000000006
9.13444,38.8,37.650000000000006
9.15111,38.8,37.65
9.16778,38.8,37.653333333333336
9.18444,38.8,37.65
9.20111,38.8,37.650000000000006
9.21778,38.8,37.650000000000006
9.23444,38.8,37.650000000000006
9.25111,38.8,37.666666666666664
9.26778,38.8,37.666666666666664
9.28444,38.8,37.650000000000006
9.30111,38.8,37.647619047619045
9.31778,38.8,37.65
9.33444,38.8,37.650000000000006
9.35111,38.8,37.65
9.36778,38.8,37.6
9.38444,38.8,37.65
9.40111,38.8,37.65
9.41778,38.8,37.6
9.43444,38.8,37.63333333333333
9.45111,38.7,37.643750000000004
9.46778,38.8,37.644444444444446
9.48444,38.8,37.650000000000006
9.50111,38.7,37.63333333333334
9.51778,38.7,37.650000000000006
9.53444,38.8,37.65
9.55111,38.8,37.65
9.56778,38.8,37.650000000000006
9.58444,38.7,37.650000000000006
9.60111,38.7,37.650000000000006
9.61778,38.7,37.6
9.63444,38.8,37.653333333333336
9.65111,38.8,37.64666666666667
9.66778,38.8,37.650000000000006
9.68444,38.7,37.65294117647059
9.70111,38.8,37.650000000000006
9.71778,38.8,37.65
9.73444,38.8,37.64545454545455
9.75111,38.7,37.65
9.76778,38.8,37.65294117647059
9.78444,38.8,37.65
9.80111,38.7,37.64782608695653
9.81778,38.8,37.65
9.83444,38.8,37.65
9.85111,38.8,37.650000000000006
9.86778,38.7,37.650000000000006
9.88444,38.7,37.650000000000006
9.90111,38.8,37.650000000000006
9.91778,38.7,37.650000000000006
9.93444,38.7,37.6
9.95111,38.7,37.650000000000006
9.96778,38.7,37.650000000000006
9.98444,38.7,37.64782608695653
10.00111,38.7,37.650000000000006
10.01778,38.8,37.65
10.03444,38.8,37.65
10.05111,38.7,37.650000000000006
10.06778,38.7,37.6
10.08444,38.7,37.622727272727275
10.10111,38.8,37.65185185185185
10.11778,38.7,37.653333333333336
10.13444,38.8,37.64571428571429
10.15111,38.8,37.66285714285714
10.16778,38.8,37.6625
10.18444,38.8,37.647619047619045
10.20111,38.8,37.65
10.21778,38.8,37.65
10.23444,38.7,37.65263157894737
10.25111,38.7,37.64347826086957
10.26778,38.8,37.66875
10.28444,38.8,37.640625
10.30111,38.8,37.628
10.31778,38.8,37.63333333333333
10.33444,38.8,37.623333333333335
10.35111,38.8,37.63333333333333
10.36778,38.8,37.6
10.38444,38.7,37.6
10.40111,38.7,37.6
10.41778,38.7,37.650000000000006
10.43444,38.7,37.64
10.45111,38.8,37.650000000000006
10.46778,38.8,37.65
10.48444,38.8,37.650000000000006
10.50111,38.8,37.65
10.51778,38.7,37.65
10.53444,38.7,37.65
10.55111,38.7,37.650000000000006
10.56778,38.7,37.650000000000006
10.58444,38.7,37.650000000000006
10.60111,38.7,37.650000000000006
10.61778,38.7,37.650000000000006
10.63444,38.7,37.65714285714286
10.65111,38.7,37.650000000000006
10.66778,38.8,37.64545454545455
10.68444,38.8,37.65384615384615
10.70111,38.8,37.64615384615385
10.71778,38.8,37.65
10.73444,38.8,37.65555555555556
10.75111,38.8,37.650000000000006
10.76778,38.8,37.64545454545455
10.78444,38.7,37.65555555555556
10.80111,38.8,37.7
10.81778,38.8,37.7
10.83444,38.8,37.65
10.85111,38.8,37.65
10.86778,38.8,37.65
10.88444,38.8,37.7
10.90111,38.8,37.7
10.91778,38.8,37.7
10.93444,38.8,37.7
10.95111,38.8,37.7
10.96778,38.8,37.7
10.98444,38.8,37.7
11.00111,38.8,37.7
11.01778,38.8,37.7
11.03444,38.8,37.7
11.05111,38.8,37.7
11.06778,38.8,37.7
11.08444,38.8,37.7
11.10111,38.8,37.7
11.11778,38.8,37.7
11.13444,38.8,37.7
11.15111,38.8,37.7
11.16778,38.8,37.650000000000006
11.18444,38.8,37.650000000000006
11.20111,38.8,37.7
11.21778,38.8,37.7
11.23444,38.8,37.7
11.25111,38.8,37.7
11.26778,38.8,37.666666666666664
11.28444,38.8,37.66923076923077
11.30111,38.8,37.666666666666664
11.31778,38.8,37.666666666666664
11.33444,38.8,37.7
11.35111,38.8,37.7
11.36778,38.8,37.7
11.38444,38.8,37.65
11.40111,38.8,37.65
11.41778,38.8,37.7
11.43444,38.8,37.7
11.45111,38.8,37.7
11.46778,38.8,37.7
11.48444,38.8,37.7
11.50111,38.8,37.7
11.51778,38.8,37.7
11.53444,38.8,37.7
11.55111,38.8,37.7
11.56778,38.8,37.7
11.58444,38.8,37.7
11.60111,38.9,37.7
11.61778,38.9,37.7
11.63444,38.9,37.7
11.65111,38.9,37.7
11.66778,38.9,37.7
11.68444,38.9,37.7
11.70111,38.9,37.7
11.71778,38.9,37.7
11.73444,38.9,37.7
11.75111,38.9,37.7
11.76778,38.9,37.7
11.78444,38.8,37.7
11.80111,38.9,37.7
11.81778,38.9,37.7
11.83444,38.9,37.7
11.85111,38.9,37.7
11.86778,38.8,37.7
11.88444,38.9,37.7
11.90111,38.9,37.7
11.91778,38.9,37.7
11.93444,38.8,37.7
11.95111,38.8,37.7
11.96778,38.8,37.7
11.98444,38.8,37.7
12.00111,38.8,37.7
12.01778,38.8,37.7
12.03444,38.8,37.7
12.05111,38.8,37.7
12.06778,38.8,37.7
12.08444,38.8,37.650000000000006
12.10111,38.8,37.65
12.11778,38.8,37.650000000000006
12.13444,38.8,37.650000000000006
12.15111,38.8,37.65
12.16778,38.8,37.650000000000006
12.18444,38.8,37.65714285714286
12.20111,38.8,37.64736842105263
12.21778,38.8,37.65
12.23444,38.8,37.65714285714286
12.25111,38.8,37.7
12.26778,38.8,37.7
12.28444,38.8,37.7
12.30111,38.8,37.7
12.31778,38.8,37.7
12.33444,38.8,37.650000000000006
12.35111,38.8,37.650000000000006
12.36778,38.8,37.650000000000006
