Seed Density (k),ctrl,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Dose,ctrl,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM,9uM
Beating occurrence date,ctrl,12,12,12,12,12,12,10,10,10,10,10,10,10,none,none,12,12,10,10,10,10,none,none,none,none,none,none,none,none,none,none
Beating,ctrl,2,2,1,1,1,1,2,2,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
device,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O
plate,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O,4-AA5O
well,A4,G4,E4,F4,D4,C4,B4,F10,E10,H10,G10,D10,C10,B10,H4,A10,C9,B9,H3,G9,F9,E9,H9,G3,F3,E3,D9,D3,C3,B3,A9,A3
measurement,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux,Flux
2022-01-17 23:15:00+00:00,-0.710452573,7.292457927,8.872795604,13.07731138,10.79494308,10.03284486,6.680321069,4.714365411,8.703754118,10.15541499,7.799156376,5.653971032,9.677457713,10.29816241,6.476727641,1.305516611,3.999961664,3.504233779,5.86938469,3.349975133,1.397175187,4.041388155,17.40585741,2.344769627,11.79447807,7.844393432,7.122442761,9.527694378,3.873002306,5.350536575,7.589683002,1.651894019
2022-01-17 23:30:00+00:00,0.658661151,9.056347802,11.31156592,15.32622798,12.2092827,12.04848103,8.15756043,6.965919807,9.512751454,7.205017529,6.760956437,7.709109139,11.99161855,11.59151296,4.805631228,0.560620379,5.943165527,5.467065766,6.166495853,2.597434965,1.295226991,4.655908713,16.20931396,3.352891522,13.33751486,11.1480143,7.628469884,11.50065345,5.161332195,7.454034388,7.006647383,-3.789882765
2022-01-17 23:45:00+00:00,0.583693501,5.880861312,8.20997385,11.89029116,7.747149536,8.370158122,5.5018368,6.239263679,12.37804342,4.705278555,4.883821649,10.85695186,8.833809665,9.232478258,2.339137639,1.193245161,5.849548314,4.113644048,3.908446733,-0.286072502,0.02028056,4.277376709,15.33146953,1.979693904,12.74046614,10.46397653,10.08795135,9.518355805,4.220402094,6.915114774,6.11053278,-1.079501897
2022-01-18 00:00:00+00:00,-0.508747494,4.897670155,7.840708982,10.19861493,6.356976772,7.498278624,4.234922901,6.67309933,14.59922667,4.312019848,4.759736265,11.98515355,8.098336941,8.740276589,2.671638957,0.248384202,5.265386337,2.585150381,3.929576847,-1.53245856,-0.254753221,4.54437808,15.03783976,1.595925396,11.86369767,9.831531717,12.03417811,7.314158816,3.480372893,6.844519758,6.157855378,0.195103019
2022-01-18 00:15:00+00:00,0.495572064,7.869061503,10.48399919,15.18596276,9.874330949,11.39184352,7.804111535,7.335865231,15.61602181,7.204691983,3.365580761,13.52763132,10.49301361,11.21551661,2.815167531,6.634480852,7.464705488,4.349368128,7.197914195,0.581034997,2.378093662,6.74295068,16.91767673,1.586816409,13.70742586,12.44828119,13.05299643,11.44609793,5.637218512,5.799687743,8.747334288,-0.238091535
2022-01-18 00:30:00+00:00,1.26916758,9.487620955,10.9083337,18.526175,11.33068551,13.25924574,9.385704349,8.02900046,15.02000345,7.122263875,1.881388767,14.35279924,11.52062826,13.04820456,1.029288095,9.204710351,8.103819117,6.449727231,7.356158208,1.586544638,2.851663332,6.807158659,16.48695092,0.504946607,15.96892416,13.87961065,12.43390637,14.19862488,7.513691967,5.626478079,8.586292244,-2.223364665
2022-01-18 00:45:00+00:00,1.779741222,5.665079759,8.091889156,15.38577099,7.625464967,10.41568106,6.966851905,7.966513731,14.70555139,4.460284595,-1.037587466,15.46009009,9.349104709,10.15938421,-1.267457221,2.322343346,5.908620528,5.082988844,5.253882837,-1.204784697,1.614937525,5.702718703,15.16185562,-1.791627206,15.27396076,11.46820857,12.32346657,11.37005577,7.042427012,5.67314792,4.237387585,-2.730139867
2022-01-18 01:00:00+00:00,2.471320011,6.45883381,9.854841595,15.78267793,7.984317349,11.31001548,7.045764374,9.749120902,15.50864855,2.875465704,-1.480003118,16.73175623,9.380033117,10.13501397,-2.086593336,-0.903320093,6.244759647,4.924285568,5.021377024,-2.206925868,2.151459861,6.489007733,14.09877432,-0.99367694,16.8734321,12.85484499,13.52272756,11.60062516,7.852631558,7.829981738,2.985202517,-3.917594922
2022-01-18 01:15:00+00:00,2.561331786,4.231301279,9.408460937,13.33564036,5.059429761,9.362422379,4.95042934,9.258906272,15.91074295,-0.019313255,-2.231433133,17.07727799,8.113170028,7.423168331,-3.975600736,-3.675064567,5.110607264,3.619394897,5.679846453,-4.124819007,1.30097244,5.509297942,11.31289994,-1.722086724,16.03565359,12.53671585,15.03045447,9.120001232,5.827300015,8.178626783,1.034609628,-3.709662642
2022-01-18 01:30:00+00:00,1.157186846,0.860438156,8.149235779,10.50752612,2.453462991,6.797791939,3.658568277,7.310842706,14.4445851,-2.106398514,-2.561823738,16.34345277,6.598485035,4.93138788,-4.988795364,-5.950955031,3.223703,1.303817269,4.867154949,-6.08060885,-1.101268273,3.65170172,8.873659053,-2.714593831,14.41264009,11.97345122,15.0252945,7.316535241,4.2367222,5.92290134,-0.66790842,-2.627529805
2022-01-18 01:45:00+00:00,1.61880966,5.957113426,12.95421081,14.00502147,8.638307843,11.04174761,8.24541958,8.502926104,15.96103896,1.715397366,1.970819284,17.36531919,9.703427905,9.395173197,0.899152006,-2.471153791,7.01305373,3.446650877,6.632028438,-2.70776171,3.619031848,7.244193664,12.33908769,0.505075021,15.79104261,14.35279182,17.72025401,9.38538734,10.59047715,6.802557625,2.609688913,-1.303545706
2022-01-18 02:00:00+00:00,1.42940528,9.146388178,13.82011636,14.37477369,11.07081858,11.8389019,9.799484814,8.51854314,16.0610418,5.993776198,5.363997606,16.05741483,10.2874152,11.68259092,4.120262548,0.866890537,8.330678208,5.21906027,7.346579129,0.030310206,5.607119959,8.594871768,13.99044224,1.391535909,16.52929029,14.34021731,17.67271563,10.64059436,13.71100953,7.647113836,5.073137627,1.930726189
2022-01-18 02:15:00+00:00,1.091399407,8.867211425,16.62147021,16.34211216,11.50507601,11.39426433,11.11280962,8.664330258,12.36750639,7.159852713,9.551260794,13.97148858,7.676262932,11.96089492,5.14848365,3.395772174,7.959340584,5.654068039,6.42784345,0.140013848,6.468381139,7.765138974,13.75957931,1.917437563,15.62976828,12.7591581,16.65815061,10.86756411,12.82845668,8.024371406,5.132396127,0.429949051
2022-01-18 02:30:00+00:00,0.873184674,11.42394624,18.53958721,18.07724878,12.07307082,11.81008772,12.39666452,10.17885838,12.63472545,10.27633842,10.43000817,14.24623783,9.038506763,13.5208461,6.996453581,6.015014027,8.298907526,6.815130367,8.814956839,1.074592687,7.594342665,8.734794636,15.52146203,4.210428537,14.43834094,12.64506422,17.92648275,12.69380481,14.23705902,10.76392784,6.408943118,3.877371396
2022-01-18 02:45:00+00:00,0.711764196,11.34210672,19.1330178,17.20410119,14.12395477,13.085724,10.20516824,9.529625414,13.90577891,12.99029688,10.43866541,14.80991024,10.47066547,12.84590253,6.746305875,4.725433642,7.600320693,6.809516922,10.89856677,1.252662206,6.202923725,7.247686743,17.27643812,3.934315635,15.45949824,14.29442684,15.64138383,13.57067756,12.76084737,10.86480568,6.545991425,3.689980621
2022-01-18 03:00:00+00:00,0.716776584,12.28599335,19.52248304,17.36760559,15.9455246,14.48745992,11.98964298,10.67156966,15.81296986,14.09731518,12.83970734,16.52536592,11.98062618,14.36975867,8.910324544,5.411323608,8.560510195,7.137319624,12.81764794,2.262939252,6.747299511,7.433918355,19.27837445,6.342378432,17.54676525,16.82319401,16.23016241,15.19137473,12.42014791,11.02559834,7.877397055,6.285200211
2022-01-18 03:15:00+00:00,0.594956668,12.36793919,18.33157012,16.44029902,17.69553887,14.56889541,13.3739663,11.59786622,15.92468187,12.18985153,10.65635862,15.2376431,14.28899374,13.81698698,9.507367515,4.616575941,7.451531264,7.343400983,13.67275321,2.352216194,6.599896786,6.96292308,19.3419841,7.202378138,16.51241676,16.08514994,15.03331988,14.46433485,12.78933869,10.6184768,8.492684637,5.923310016
2022-01-18 03:30:00+00:00,0.589101096,13.43604147,19.15150299,16.77063612,19.42515567,14.9676448,14.53334605,12.91656752,18.04548258,13.88943342,10.92306786,17.14418005,17.30149684,15.55480445,11.41618765,6.659546353,7.981617137,8.138095579,15.00733145,4.396751607,7.081388959,7.623721355,20.31501844,8.874512388,16.48064815,16.2779082,15.27481916,15.47730729,14.64709808,12.48218257,9.807903879,8.604836835
2022-01-18 03:45:00+00:00,0.370262717,12.75715083,17.8096523,17.18187309,18.56047975,16.1622435,13.66301143,12.98586938,16.63889797,14.26963898,11.66269738,17.66427261,16.78405677,17.08039289,11.52101197,8.227901231,8.237006518,8.409296971,16.2198852,3.534589817,6.99160473,6.983638122,20.86582651,8.663768784,15.1545899,15.79238166,14.60722134,14.85561969,13.78123267,12.33704007,8.59457528,7.488881256
2022-01-18 04:00:00+00:00,0.404159598,13.80874625,18.81009388,17.87949149,18.31578862,17.2792873,13.78863294,14.03811514,16.79262535,14.963926,12.42484796,19.10503951,18.00289615,18.78266156,12.84270322,9.310881676,9.207222404,9.650962906,17.98754688,4.142097022,7.724324825,7.407320534,22.08378082,10.07405636,16.49360857,15.80476634,15.54504082,16.43054507,14.88247645,14.0226849,9.050920687,10.5411063
2022-01-18 04:15:00+00:00,0.182368654,13.15216391,18.18053171,17.79610003,16.23922808,17.92365448,12.59838915,13.79536642,15.88588228,16.52018398,12.71934425,18.39359679,17.7875827,18.49282689,12.79687483,8.403595125,9.519020852,9.309957952,18.11424403,4.293288549,6.70172267,7.440336755,23.20549098,10.70946315,15.95954708,16.57321317,14.48478589,16.28417762,14.90880807,12.02839794,9.454868492,8.91666945
2022-01-18 04:30:00+00:00,0.206732332,13.93018399,19.42669607,18.80506356,16.76307806,19.23084873,13.11420796,15.2005982,16.47378646,19.56073714,13.42973394,19.11532624,18.87915789,19.99489311,13.26170848,9.924588697,9.971810139,9.722252553,18.66507129,3.981581303,5.807063938,8.13037618,24.14861304,12.05691044,17.42412193,18.47982264,15.29259416,16.59269838,15.80242254,12.76090915,10.95997606,11.11090344
2022-01-18 04:45:00+00:00,0.099254779,13.79528857,18.34928226,18.65486986,17.28163465,19.4805088,13.36819709,14.41349233,15.97436881,21.17980712,11.73080695,18.74137935,19.02520965,20.18589353,13.18375756,11.04746424,9.69760204,9.365767816,17.12988291,3.417458915,4.963840408,8.126816046,25.07826195,13.03579929,15.79176494,18.15223071,14.79040792,15.75568036,16.21731498,12.72558311,10.41393695,9.47280362
2022-01-18 05:00:00+00:00,0.109471717,14.73442448,18.71534438,20.06531282,18.94865189,21.26465795,14.23283789,15.75039485,16.81992117,22.29680453,12.9931161,20.01776312,20.14802951,22.11761422,14.46285511,12.87216582,10.55935338,10.00578364,17.62469442,3.863652935,5.532337781,8.336516322,26.16110684,13.69869247,16.52208278,18.84110468,15.87584421,15.67429208,16.83783135,14.11468575,11.24281451,10.9289391
2022-01-18 05:15:00+00:00,0.061397037,14.87996466,17.587944,19.95509347,17.43319979,19.13412101,13.46574403,15.94554175,16.88633075,22.15069845,12.79306805,20.48699966,19.84366342,22.4118411,15.14511891,14.90903904,10.46152577,10.30474536,17.8987253,3.967536585,5.135352409,7.749673811,27.40381977,13.75642104,16.71934363,18.50397874,15.72739963,13.68314571,17.01072356,14.67202868,11.86016113,10.05482052
2022-01-18 05:30:00+00:00,0.054897193,15.75240974,18.32151437,21.02304231,17.85652972,19.23757935,14.8276387,17.33581787,17.72946551,23.65936477,13.70175656,21.98120502,21.3574252,23.24874276,15.02819947,16.53839563,11.45705532,11.06996226,19.28055593,4.960448224,5.70471969,8.664489228,28.63917063,15.05330019,17.75710387,19.22715153,17.00755677,14.30251587,17.81208419,15.42456668,12.86648013,12.24083268
2022-01-18 05:45:00+00:00,-0.028506908,15.94432246,17.50707366,19.77687887,16.40262252,18.36272571,15.24476103,17.66937363,18.132174,22.87369786,12.89693413,21.94544101,21.61895503,23.55308699,15.50185197,17.57809062,11.60634835,11.60743367,19.40241528,5.532834495,5.876166852,9.017632988,29.35307272,15.71372722,18.78881552,19.36231318,16.76275692,14.77589223,17.94976043,16.6025987,13.36727107,11.19593655
2022-01-18 06:00:00+00:00,0.00674678,17.65044851,18.71049048,20.73555688,17.54665442,19.42139639,16.31625415,19.40377664,19.43026544,22.47979886,14.2655976,23.27155551,23.11662664,24.6231995,17.02833004,18.3951608,12.30276897,12.3765241,20.05684338,6.148260833,6.500657752,9.852436076,30.04630781,16.97908247,19.98727164,20.0683933,17.6680327,15.85808539,18.53560576,17.98796753,14.22796851,12.43947853
2022-01-18 06:15:00+00:00,0.004970312,17.50239539,19.03329568,18.71904474,17.53482992,19.01836864,16.70826756,20.13068876,19.63543762,23.25480655,14.10789827,23.76229866,24.07904143,25.1700978,17.19623301,19.07530791,11.80984702,13.36246988,20.45600235,6.07868247,6.59707334,10.01201752,31.19400871,16.88520659,20.90259879,17.68073358,17.58460739,16.42558441,18.80869873,17.15148889,14.61130911,11.36273843
2022-01-18 06:30:00+00:00,0.010089352,18.38004145,20.22999438,18.94385549,18.61620218,20.31307397,17.84096687,21.75068367,21.00589887,25.32289446,15.37521936,25.65102539,25.8564687,26.95177025,18.61925234,20.78121461,12.50130994,14.71955083,21.09571468,7.05574005,7.138517359,10.66298277,32.2555596,17.43382062,22.21334644,17.57633296,18.60969693,17.84628041,19.43248394,17.14746208,15.36388397,13.11626956
2022-01-18 06:45:00+00:00,-0.04432317,19.5388632,20.68477912,18.06621536,19.15790395,19.51589608,18.51540822,21.95000705,21.22752734,23.4786379,14.8365119,26.98148177,25.77677487,27.54406884,18.36379009,21.2878929,12.80183658,15.10979682,20.27660299,6.492554613,6.736363766,10.52713731,32.66742836,18.00245592,21.97372716,17.04387114,18.31711799,19.34529583,20.45127042,17.24482204,15.67138263,12.23859512
